Country,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Fertility rate,Urban Population (%),Sunshine duration per Year
Slovakia,Central and Eastern Europe,6.280600071,10.34774971,0.9224937559999999,68.90634155,0.7499526740000001,-0.12440930300000001,0.918096125,1.44,53.8,2038.0
Uzbekistan,Commonwealth of Independent States,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1.74,50.4,2823.9
Chile,Latin America and Caribbean,6.228499889,10.0320549,0.879713595,69.90061951,0.7448962929999999,-0.065668367,0.838239431,1.77,87.7,2841.7799999999997
Bahrain,Middle East and North Africa,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393470999999999,1.69,89.5,3130.889666666667
Lithuania,Central and Eastern Europe,6.215499877999999,10.34362602,0.926107109,67.29407501,0.747381449,-0.21972529600000001,0.809583843,1.6,68.0,1691.0
Trinidad and Tobago,Latin America and Caribbean,6.1918997760000005,10.26000214,0.91529417,63.5,0.8579071159999999,0.000526841,0.9122306109999999,1.7,53.2,2410.590333333333
Poland,Central and Eastern Europe,6.1862998010000005,10.26512432,0.874257445,69.31113434,0.8620557790000001,-0.205084071,0.6869270209999999,1.38,60.0,1571.0
Colombia,Latin America and Caribbean,6.163400172999999,9.500369072,0.884440243,67.69958496,0.8361799120000001,-0.161235645,0.86457181,1.78,81.4,1930.7749999999999
Cyprus,Western Europe,6.15899992,10.40570259,0.8059962390000001,73.70222473,0.7798582909999999,0.043731495999999995,0.8562717440000001,1.48,66.8,3314.1
Nicaragua,Latin America and Caribbean,6.13710022,8.493160247999999,0.8574970359999999,67.50717926,0.8639028670000001,0.020959141,0.665950119,1.82,59.0,2759.9
Romania,Central and Eastern Europe,6.123700142000001,10.107584,0.8251615170000001,67.20723724,0.842823207,-0.19781521,0.9343002440000001,1.38,56.4,2115.0
Kuwait,Middle East and North Africa,6.102099895,11.08982468,0.8464752440000001,66.76764679,0.8723664879999999,-0.100184701,0.7608490590000001,2.26,100.0,3130.889666666667
Mauritius,Sub-Saharan Africa,6.101299762999999,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.8053430909999999,1.73,40.8,2835.166111111111
Kazakhstan,Commonwealth of Independent States,6.0578999520000005,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.7644908429999999,2.16,57.7,2431.5
Estonia,Central and Eastern Europe,6.0218000410000005,10.34001732,0.9347299929999999,68.60495758,0.87770915,-0.111697771,0.623073816,1.61,69.2,1826.0
Philippines,Southeast Asia,6.006000042,8.993545532,0.8467300529999999,61.92676163,0.915463448,-0.105463006,0.7336341140000001,2.92,47.4,2103.1
Hungary,Central and Eastern Europe,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.19432301800000001,0.892916501,1.47,71.9,1988.0
Thailand,Southeast Asia,5.9987998010000005,9.741791725,0.8899732229999999,67.25059509,0.905063033,0.268685192,0.8862723109999999,1.54,51.4,2175.025
Argentina,Latin America and Caribbean,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.8420098420000001,2.21,92.1,2220.3
Honduras,Latin America and Caribbean,5.953199862999999,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,2.09,58.4,2259.8
Latvia,Central and Eastern Europe,5.9499998089999995,10.17531967,0.9182885890000001,66.8074646,0.671237648,-0.186888844,0.7955800890000001,1.53,68.3,1754.0
Ecuador,Latin America and Caribbean,5.925199986,9.246058463999999,0.836418986,68.50003815,0.8598289490000001,-0.127014965,0.8012151120000001,2.09,64.2,1909.55
Portugal,Western Europe,5.9109001160000005,10.26374245,0.8865907190000001,72.40202332,0.8887478109999999,-0.220714301,0.8926295040000001,1.41,66.3,2770.0
Jamaica,Latin America and Caribbean,5.889800072000001,9.006250381000001,0.9157018659999999,67.09999847,0.8580685259999999,-0.12510676699999998,0.8888900279999999,2.07,56.3,2410.590333333333
South Korea,East Asia,5.872399807000001,10.51056671,0.7993871570000001,73.60272979999999,0.6129651070000001,-0.043404032,0.789067447,1.69,81.4,2196.65
Japan,East Asia,5.870800018,10.57968903,0.883545935,75.00096893,0.8099613790000001,-0.24691034899999997,0.654558063,1.43,91.8,1808.5500000000002
Peru,Latin America and Caribbean,5.796800137000001,9.456313133,0.8310752509999999,68.10023499,0.8247660990000001,-0.16238822,0.8937149640000001,2.04,78.3,2281.65
Serbia,Central and Eastern Europe,5.77820015,9.680980682000001,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1.46,56.4,2055.0
Bolivia,Latin America and Caribbean,5.747499942999999,8.851115227000001,0.803108692,63.6004715,0.875873327,-0.09168113,0.8226062059999999,2.48,70.1,2288.9
Pakistan,South Asia,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.7457054259999999,3.6,37.2,2992.15
Paraguay,Latin America and Caribbean,5.6921000479999995,9.389982224,0.8987278940000001,65.63993835,0.885923445,0.007997713,0.8347885009999999,1.89,62.2,2803.0
Dominican Republic,Latin America and Caribbean,5.6891999239999995,9.664880753,0.882085383,65.80748749,0.8662027720000001,-0.131263286,0.755999923,2.24,82.5,2410.590333333333
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922000001,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,1.33,49.0,1769.0
Moldova,Commonwealth of Independent States,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,1.58,42.8,2126.0
Tajikistan,Commonwealth of Independent States,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.5920760629999999,2.51,27.5,2204.8430555555556
Montenegro,Central and Eastern Europe,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.7831215859999999,1.82,67.5,2481.0
Russia,Commonwealth of Independent States,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.6,74.8,1972.7875000000001
Kyrgyzstan,Commonwealth of Independent States,5.541500092000001,8.148405075,0.8872284890000001,64.10601044,0.909374893,0.15477205800000002,0.888396084,2.54,36.9,2204.8430555555556
Belarus,Commonwealth of Independent States,5.539899826,9.779945374,0.90674746,66.10433197,0.6391630770000001,-0.164926544,0.63571167,1.5,79.5,1807.0
North Cyprus,Western Europe,5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.00022715900000000003,0.62611568,1.6744999999999997,80.91499999999999,2008.3025000000002
Greece,Western Europe,5.514999866,10.13232613,0.8143803479999999,72.40525818,0.5413451189999999,-0.30090737300000003,0.8599314090000001,1.38,79.7,2773.0
Hong Kong S.A.R. of China,East Asia,5.510399818,10.934671400000001,0.8459690809999999,76.77170563,0.7798337940000001,0.134979904,0.420607209,1.69,75.82499999999999,2207.815
Croatia,Central and Eastern Europe,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.42,57.6,2272.0
Libya,Middle East and North Africa,5.488800049,9.789815903,0.8259429340000001,62.29999924,0.773157001,-0.085054487,0.668779135,3.17,80.7,3178.1
